diff_win_pct_prev_season,diff_win_pct_3_last_games,diff_win_pct_7_last_games,diff_home_record_last_season,diff_road_record_last_season,game_id,game_date_est
-0.341,0.333333333333333,0.285714285714286,-0.268292682926829,-0.414634146341464,20700016,2007-11-02
-0.134,0.666666666666667,0.714285714285714,-0.097560975609756,-0.170731707317074,20700017,2007-11-02
0.269,-0.333333333333333,0,0.341463414634147,0.195121951219512,20700018,2007-11-02
0.037,0,0.285714285714285,-0.048780487804878,0.121951219512195,20700024,2007-11-02
0.231,0.333333333333334,0.428571428571428,0.170731707317073,0.292682926829269,20700025,2007-11-02
-0.135,0.333333333333334,0,-0.146341463414634,-0.121951219512195,20700028,2007-11-03
0.073,-0.666666666666667,-0.571428571428571,0.024390243902439,0.121951219512195,20700029,2007-11-03
0.098,-0.333333333333333,0,0.073170731707317,0.121951219512195,20700030,2007-11-03
-0.012,-0.333333333333333,-0.285714285714286,0.097560975609756,-0.121951219512195,20700031,2007-11-03
0.159,0.333333333333334,0.142857142857142,0,0.317073170731707,20700032,2007-11-03
0.195,0.666666666666667,0.428571428571428,0.170731707317073,0.219512195121952,20700033,2007-11-03
0.085,0.333333333333334,0.142857142857142,0.024390243902439,0.146341463414634,20700034,2007-11-03
-0.073,0.666666666666667,0.142857142857143,-0.146341463414635,0,20700035,2007-11-04
0.146,1,0.714285714285714,0.121951219512195,0.170731707317073,20700036,2007-11-04
-0.122,0.666666666666667,0.285714285714286,-0.219512195121952,-0.024390243902439,20700037,2007-11-04
0.317,-0.333333333333333,-0.428571428571429,0.341463414634147,0.292682926829269,20700038,2007-11-04
0.463,0,-0.142857142857143,0.463414634146342,0.463414634146342,20700039,2007-11-04
0.074,0,0,0.048780487804878,0.097560975609756,20700040,2007-11-04
0.049,0.333333333333334,0.428571428571428,0,0.097560975609757,20700041,2007-11-04
0.049,-0.333333333333334,-0.142857142857142,0.121951219512195,-0.024390243902439,20700042,2007-11-04
0.317,-0.333333333333333,0,0.463414634146342,0.170731707317074,20700043,2007-11-05
-0.342,0,-0.142857142857143,-0.341463414634147,-0.341463414634147,20700044,2007-11-06
0.281,0,-0.142857142857143,0.26829268292683,0.292682926829268,20700045,2007-11-06
-0.257,0,0,-0.26829268292683,-0.24390243902439,20700046,2007-11-06
0.159,-0.333333333333334,-0.285714285714285,0.243902439024391,0.073170731707317,20700047,2007-11-06
-0.037,-0.666666666666667,-0.714285714285714,-0.048780487804878,-0.024390243902439,20700048,2007-11-06
-0.073,-1,-0.571428571428571,-0.146341463414634,0,20700049,2007-11-06
-0.353,-0.333333333333333,-0.285714285714286,-0.463414634146342,-0.243902439024391,20700050,2007-11-06
0.11,0,0.285714285714286,0.121951219512195,0.097560975609756,20700051,2007-11-06
0.086,-0.333333333333333,0,0.073170731707317,0.097560975609756,20700052,2007-11-06
-0.195,-0.333333333333333,0.142857142857143,-0.24390243902439,-0.146341463414634,20700053,2007-11-06
-0.11,-0.333333333333334,-0.285714285714286,-0.26829268292683,0.048780487804878,20700054,2007-11-07
0.146,-0.333333333333334,0,0.146341463414635,0.146341463414634,20700055,2007-11-07
-0.342,-0.333333333333334,0,-0.317073170731708,-0.365853658536586,20700056,2007-11-07
-0.073,0,-0.142857142857143,0,-0.146341463414634,20700057,2007-11-07
-0.135,0.333333333333334,0.142857142857142,-0.121951219512195,-0.146341463414634,20700058,2007-11-07
0.134,0.666666666666667,0.714285714285714,0.073170731707317,0.195121951219512,20700059,2007-11-07
-0.11,-0.333333333333334,0.285714285714285,-0.219512195121951,0,20700060,2007-11-07
-0.171,-0.333333333333333,-0.571428571428571,-0.195121951219512,-0.146341463414634,20700061,2007-11-07
-0.207,-1,-0.285714285714285,-0.219512195121952,-0.195121951219512,20700062,2007-11-07
0.086,0.666666666666667,0.428571428571428,0.048780487804878,0.121951219512195,20700063,2007-11-08
-0.28,-1,-0.428571428571428,-0.390243902439024,-0.170731707317074,20700064,2007-11-08
-0.317,-0.666666666666667,-0.714285714285714,-0.317073170731707,-0.317073170731708,20700065,2007-11-08
-0.11,0.666666666666667,0,-0.170731707317073,-0.048780487804878,20700066,2007-11-09
-0.183,-0.333333333333334,-0.285714285714285,-0.243902439024391,-0.121951219512195,20700067,2007-11-09
0.085,0.666666666666667,-0.142857142857143,0.073170731707318,0.097560975609756,20700068,2007-11-09
-0.208,-0.333333333333333,-0.285714285714286,-0.243902439024391,-0.170731707317073,20700069,2007-11-09
-0.11,-0.666666666666667,-0.714285714285714,-0.048780487804878,-0.170731707317073,20700070,2007-11-09
-0.037,0,-0.428571428571429,0.097560975609756,-0.170731707317074,20700071,2007-11-09
0.207,-0.333333333333333,-0.428571428571429,0.24390243902439,0.170731707317074,20700072,2007-11-09
-0.231,0,-0.142857142857143,-0.170731707317073,-0.292682926829269,20700073,2007-11-09
0.146,0,0.142857142857142,0.073170731707317,0.219512195121952,20700074,2007-11-09
-0.342,0,-0.142857142857142,-0.365853658536586,-0.317073170731707,20700075,2007-11-09
0.147,0.666666666666667,0.285714285714286,0.073170731707317,0.219512195121951,20700076,2007-11-09
-0.073,0,0,-0.073170731707317,-0.073170731707317,20700077,2007-11-09
-0.244,-0.666666666666667,-0.571428571428571,-0.26829268292683,-0.219512195121951,20700078,2007-11-09
-0.256,0.333333333333333,0.142857142857143,-0.195121951219512,-0.317073170731708,20700079,2007-11-10
-0.122,0,0.142857142857142,-0.024390243902439,-0.219512195121952,20700080,2007-11-10
0.098,0,0.142857142857143,0.073170731707317,0.121951219512195,20700081,2007-11-10
