diff_avg_pts_home,diff_avg_pts_away,diff_avg_ast_home,diff_avg_ast_away,diff_avg_fg3_pct_home,diff_avg_fg3_pct_away,diff_avg_fg_pct_home,diff_avg_fg_pct_away,diff_avg_ft_pct_home,diff_avg_ft_pct_away,diff_avg_reb_home,diff_avg_reb_away,game_id,game_date_est
-5.5,-11.25,-5,-6.5,0.0225,-0.1025,-0.0145,-0.04575,0.03275,0.1425,-4.25,-5,20700058,2007-11-07
10.3333333333333,-0.3333333333334,4.6666666666666,-2.6666666666667,0.096333333333333,-0.086333333333333,0.005666666666667,0.020333333333333,0.060666666666666,0.070666666666667,5.6666666666667,-11.3333333333333,20700059,2007-11-07
17.916666666667,8.833333333333,11.9166666666667,-0.6666666666667,0.0465,-0.114916666666667,0.11625,0.030166666666667,0.046166666666667,0.010083333333333,-1.5833333333333,-9.9166666666667,20700060,2007-11-07
3.5,-10.5,3.5,2.5,-0.03375,0.00575,-0.0335,-0.0155,0.02825,-0.0805,7.75,5.25,20700061,2007-11-07
-1.25,-12,-0.25,-6.75,-0.01125,-0.08275,0.0025,-0.0005,-0.015,0.02725,-2.25,-3,20700062,2007-11-07
-12.333333333333,0.3333333333333,3.1666666666667,6.8333333333333,-0.069833333333333,0.23875,-0.01375,0.043,0.024166666666667,0.007333333333333,-7.9166666666667,-8,20700063,2007-11-08
3.5,-7.3333333333333,-0.5,2.0833333333333,-0.071166666666667,-0.112583333333333,-0.065333333333333,-0.072083333333333,0.157333333333333,-0.056166666666667,6.75,4.4166666666667,20700064,2007-11-08
17.75,14.166666666667,7.4166666666667,7.5833333333333,0.125416666666667,0.0145,0.028666666666667,0.022666666666667,-0.07275,-0.14925,1.4166666666667,2.9166666666667,20700065,2007-11-08
-2.35,-10.95,-2.9,-3.4,-0.0285,-0.2211,-0.01065,-0.0644,-0.06375,-0.06905,0.7,6.9,20700066,2007-11-09
-9.75,-13.25,-4,2,-0.08425,-0.1035,0.01725,0.01925,-0.0845,0.0905,-1.5,-7.25,20700067,2007-11-09
9.416666666667,0.5833333333333,-1,2.0833333333333,0.1075,-0.064083333333333,0.046416666666667,-0.00425,-0.063916666666667,-0.009583333333333,-5.5,-0.5,20700068,2007-11-09
13.666666666667,1.866666666667,1.5333333333333,-3,0.056666666666667,0.1112,0.078,-0.0052,-0.046866666666667,-0.127266666666667,-1.1333333333333,-4.0666666666667,20700069,2007-11-09
-11.85,-19.6,0.25,-5.2,0.0298,-0.00085,0.01725,-0.0685,-0.07765,-0.1422,-3.2,-3.8,20700070,2007-11-09
-9.65,-7,-5.7,-6.85,-0.0428,-0.11265,-0.07205,-0.0602,0.0764,0.10905,1.55,1.8,20700071,2007-11-09
-13.5,-6.25,-1.5,-4,-0.0225,-0.0255,0.01825,0.01875,-0.1675,0.016,-6.75,-3.75,20700072,2007-11-09
6.9,11.05,-0.35,4.2,-0.03345,0.038,0.0199,0.00485,0.09595,0.1384,-1.65,7.5,20700073,2007-11-09
-3.5,6.5,3.25,-3,-0.085,-0.05075,-0.0355,0.0375,0.05275,0.1075,3.5,-4.5,20700074,2007-11-09
-4.9999999999997,-22.3333333333333,2.6666666666666,-4.6666666666666,-0.003,-0.077333333333333,-0.017333333333333,-0.02,-0.004,0.048333333333333,2.6666666666667,-3.6666666666667,20700075,2007-11-09
10,14.333333333333,3,7.3333333333333,-0.068666666666666,0.076333333333333,0.029,0.044,0.052,0.113,1,-0.3333333333333,20700076,2007-11-09
7.95,-7.3,4,-5.15,0.1219,-0.10495,0.071,-0.0048,0.11635,0.1127,-0.9,-10.3,20700077,2007-11-09
-5.3,-3.9,-5.45,2.25,0.01225,0.0457,-0.07375,-0.0302,0.0341,0.0104,5.55,10.1,20700078,2007-11-09
-3,2,1,-0.8,0.083,-0.0502,-0.023,0.023,-0.0004,-0.0176,-3.8,-2.8,20700079,2007-11-10
-1.4,-1.6,-2.2,-4.6,0.0542,0.0296,-0.0374,-0.0436,0.036,-0.0728,2,6.2,20700080,2007-11-10
-17.15,4.55,-2.95,3.2,-0.16685,0.09415,-0.126,-0.0014,0.07105,0.0243,0.75,4.45,20700081,2007-11-10
-2.4,-7.6,-0.8,-4,-0.0974,-0.1902,-0.0488,-0.0508,0.0262,-0.0764,4,3.2,20700082,2007-11-10
5.2,-1.2,5.65,3.05,-0.08225,-0.07505,0.02965,0.04155,-0.06375,-0.0632,-1.15,-5.95,20700083,2007-11-10
4.1,-6.4,-3.95,-2.15,0.0417,-0.07385,0.02325,-0.0071,0.1137,0.0956,-0.35,-6.1,20700084,2007-11-10
-2.75,-10.95,1.15,-1.95,-0.0032,-0.03895,-0.01705,-0.04295,0.03775,-0.06235,1.55,4.4,20700085,2007-11-10
1.6,-8.8,5.8,-2.6,0.0128,0.0854,0.0788,0.0126,-0.0034,-0.0196,-1.2,-8.8,20700086,2007-11-11
18.2,15.75,0.6,-0.9,0.11375,0.01955,0.0298,0.05105,0.01755,-0.00245,-2.75,-2,20700087,2007-11-11
-1.4,-7.4,-2.2,-0.8,0.0496,-0.0796,-0.0138,-0.037,-0.0652,-0.0652,-3.8,4.2,20700088,2007-11-11
-4.2,0.2,-6.4,4.6,-0.0094,0.0312,0.0106,0.0038,-0.121,-0.0744,-2,4.2,20700089,2007-11-11
-7.8,2.6,0.6,-0.2,-0.0328,0.0176,-0.017,0.0456,-0.0406,-0.0454,0.2,-6.2,20700090,2007-11-11
10.6,8.6,-2,8,-0.0332,-0.0246,0.0024,0.017,0.1262,-0.055,2.2,6.8,20700091,2007-11-11
1.4,-1,5.8,-0.4,0.0556,-0.0104,-0.0074,-0.0072,0.0046,0.0962,6.4,-5.2,20700092,2007-11-11
-2,-2.6,-0.6,0.6,-0.0028,0.069,-0.01,-0.0174,0.016,0.0404,-5.2,-5,20700093,2007-11-12
5.6,6.4,7,4,0.1128,0.0688,0.0336,0.0116,-0.1602,0.0792,6.2,-5.2,20700094,2007-11-12
12,10.2,10.8,8.4,0.0044,0.0316,0.0664,0.0402,-0.1052,-0.1022,0.2,-1,20700095,2007-11-12
1.4,1.2,-1.4,-0.6,0.0634,-0.121,-0.0134,-0.0034,0.0216,0.1402,0.6,0.6,20700096,2007-11-13
-8.4,2.8,1.2,-0.2,0.063,0.0444,-0.0264,0.0222,-0.1102,0.043,0,-3.2,20700097,2007-11-13
-7,8.2,-0.8,0.8,-0.0496,0.0388,-0.0768,0.0082,-0.0572,-0.0984,6.4,8.6,20700098,2007-11-13
13.4,18,0.6,4.6,0.038,0.1254,0.0724,0.0244,-0.021,-0.081,-3.8,3.6,20700099,2007-11-13
19,9.2,5.8,-3.6,0.1642,-0.0122,0.0946,0.0276,0.078,0.1494,-0.2,-7.6,20700100,2007-11-13
-12.8,-24.95,-4,-7.25,0.0788,-0.1857,-0.0249,-0.0353,-0.0575,-0.12415,2.7,-7.85,20700101,2007-11-13
-2.4,3.4,1,4.6,-0.0888,-0.0046,-0.0116,-0.0104,-0.0312,0.17,6.8,2.8,20700102,2007-11-13
1.8,-8.6,0.2,-2.2,0.101,-0.0568,0.0294,-0.0446,0.0372,0.0538,-0.4,2.4,20700103,2007-11-13
-16.2,-1.2,-6,3.2,0.0594,0.1272,-0.0762,0.0066,-0.0666,0.1122,0.2,4.2,20700104,2007-11-14
-6.8,-9,-2,1.6,-0.0774,-0.0686,-0.0236,-0.0216,0.0564,0.0422,-1.6,0.4,20700105,2007-11-14
6.8,5.4,7.6,-1,-0.0908,0.1682,0.048,0.0116,0.0124,0.0488,-2.2,-3.4,20700106,2007-11-14
3,-1,-4.2,-3.2,-0.0924,-0.0148,0.008,-0.0124,0.0972,-0.0924,-3,2.8,20700107,2007-11-14
12.4,6.2,1.6,1.4,0.157,-0.0428,0.0672,0.0286,-0.019,-0.0296,-1.4,-3.6,20700108,2007-11-14
-13.8,-12.8,-1,-2.6,-0.0146,0.0272,-0.0122,0.007,-0.0676,0,-2.6,-7,20700109,2007-11-14
-6.6,-17,-0.4,-0.6,0.0268,-0.0308,-0.0158,-0.043,-0.06,-0.003,2.6,-1.8,20700110,2007-11-14
-4,8.8,1.8,-1.2,-0.017,0.0506,-0.0068,0.0446,0.0546,0.0834,-0.8,-2.2,20700111,2007-11-14
-7.4,2,2.8,2.4,0.0026,-0.0046,-0.0316,-0.0056,-0.1008,-0.064,2.6,4.8,20700112,2007-11-14
-9.6,-16,-4.6,-5.4,0.0176,-0.1126,-0.0328,-0.037,0.038,-0.0234,3.2,-6.4,20700113,2007-11-14
14.6,18.4,1.6,7,-0.0118,0.089,0.036,0.0638,-0.086,-0.1184,2,-3.2,20700114,2007-11-14
-2,-2,2,-0.6,-0.0342,0.0002,-0.048,-0.0258,0.0502,0.0812,4.2,3.6,20700115,2007-11-14
18.6,20.2,2.45,6.65,0.1696,0.00285,0.03335,0.06125,-0.03375,-0.02205,-2.4,1.5,20700116,2007-11-14
10.6,10,2.6,1.6,0.0874,0.1184,0.049,-0.0184,0,0.1852,-3.2,2.8,20700117,2007-11-15
15.2,13.2,1,1.8,0.0794,0.0828,0.0964,0.0138,-0.0186,0.0408,4.8,-3.2,20700118,2007-11-15
-2,-1.4,-0.8,7.4,0.017,0.0522,0.0096,0.0518,0.039,0.01,-3.4,-0.4,20700119,2007-11-16
-8.6,-7.2,-3.2,1.2,-0.0136,0.064,-0.0498,0.0102,-0.062,-0.0704,-2,1.8,20700120,2007-11-16
11.2,3.8,5.8,-1,0.087,0.0498,0.0702,-0.0166,0.0044,0.0264,-2,-4,20700121,2007-11-16
-13,-16.8,-0.2,-7.2,-0.1234,0.0896,-0.014,-0.0564,0.043,0.0228,-6,-3.4,20700122,2007-11-16
1,-4.8,6.6,-3.6,0.0658,0.0892,0.0546,0.0022,-0.013,0.0618,-0.6,-11.2,20700123,2007-11-16
0,6.2,-5.8,-2.2,-0.0084,-0.0194,-0.0058,-0.011,0.0166,-0.0434,0.8,3.8,20700124,2007-11-16
21.2,11,3.8,2,0.0722,-0.056,0.0676,0.0008,0.1256,-0.0462,3.4,0,20700125,2007-11-16
5.6,0.2,1,1.8,0.0496,-0.0596,0.0676,0.0024,-0.012,-0.0298,-4.8,0.2,20700126,2007-11-16
12.2,1,0.4,-3.6,0.1398,0.0464,0.0772,0.0186,-0.0252,-0.0692,-1.6,-4.6,20700127,2007-11-16
6,-0.4,-3.2,-1.6,0.0244,0.0824,0.0032,0.0058,0.0846,0.1072,-2.6,-5.2,20700128,2007-11-16
3.6,4.2,1.8,-1.2,0.0008,-0.0246,-0.0066,0.007,0.0756,0.0546,-3,3.6,20700129,2007-11-16
22.8,19.8,6.2,9.4,0.1788,0.0802,0.08,0.0812,-0.118,0.0102,-1.2,-4.6,20700130,2007-11-16
-8.8,8.8,-3.8,3.2,-0.1096,0.0368,-0.105,0.0402,0.0388,0.0186,-3.2,3.8,20700131,2007-11-17
-9,-19.2,0.8,-6.8,0.1582,-0.069,0.0256,-0.0376,-0.0124,0.0106,-1.6,-6.6,20700132,2007-11-17
-4.4,3.2,-1.4,-3,0.0342,0.0012,-0.0226,-0.0242,-0.082,0.0422,1.2,2,20700133,2007-11-17
-4,-1.4,1.6,-1.6,-0.0582,0.0826,-0.033,-0.042,-0.026,0.0916,0.6,1.4,20700134,2007-11-17
11,7,-0.4,1.4,0.0182,-0.0802,0.019,0.0024,0.074,0.0252,2.4,-4,20700135,2007-11-17
-6.4,-16.6,-1.2,-1.8,0.0596,-0.12,-0.0226,-0.0396,0.0106,-0.0338,1.6,1.4,20700136,2007-11-17
-11.2,-12.6,-3.8,-5,0.0036,-0.1048,-0.0628,0.0044,0.0778,-0.0516,-2.8,-0.8,20700137,2007-11-17
-7.2,-6.8,-1,-1.2,-0.0168,0.0014,-0.0172,-0.0514,-0.0778,0.1068,-0.6,1.4,20700138,2007-11-17
11,5.8,7.2,4.8,0.0056,0.1036,0.0642,0.0196,-0.0846,0.0112,2.8,-6.2,20700139,2007-11-17
8.8,1.4,1.4,-4.4,0.049,-0.0696,0.041,-0.0394,0.0376,-0.0294,2.8,3.4,20700140,2007-11-17
-22,-10,-6.2,-0.8,-0.1124,-0.0164,-0.088,-0.009,0.1334,0.0694,-2.2,3.8,20700141,2007-11-18
2.2,10,0.4,5.2,-0.015,-0.0444,-0.0452,0.013,-0.0892,0.0674,8.6,4.4,20700142,2007-11-18
4.8,3.6,-5.8,-4.6,-0.0066,-0.0106,0.0114,-0.0038,0.0874,0.044,-5,-1.6,20700143,2007-11-18
13.4,0.4,2.4,-3.4,0.1086,-0.0316,0.0152,-0.0256,0.0558,0.08,3,4.4,20700144,2007-11-18
-3.6,-1.2,-1.6,-2.2,0.086,-0.0176,-0.0432,-0.0062,-0.0408,-0.0552,3.2,0.4,20700145,2007-11-19
5.4,4,2.4,0.4,0.0708,0.0222,0.0614,0.0654,-0.013,0.0294,-6,-4,20700146,2007-11-19
-8,-4.6,-1.8,-2.4,0.0412,0.1606,0.0042,0.008,0.0096,0.0974,-5.4,-2.8,20700147,2007-11-19
21.6,3.8,5.4,0.2,0.111,-0.1098,0.0662,0.0392,0.0612,-0.013,1.2,-3.4,20700148,2007-11-19
4.4,11.6,-1,2.6,-0.0352,-0.0696,-0.033,0.0224,0.1168,0.0368,-0.6,2,20700149,2007-11-20
8.2,12.4,4.4,4.2,-0.0442,0.1138,0.0264,0.0052,-0.0246,-0.0054,1.8,-1.6,20700150,2007-11-20
-2.6,10.2,-7.6,0.6,-0.1198,0.0464,-0.061,0.0046,0.0716,-0.0254,-0.4,5.8,20700151,2007-11-20
1.8,11,1.4,2.8,-0.0114,0.0326,0.0426,0.0224,-0.0402,0.0296,-4.2,-4.4,20700152,2007-11-20
-7.6,-18.2,-2,-8.6,-0.0076,-0.13,-0.0006,-0.0708,0.0616,-0.0264,-0.6,1.2,20700153,2007-11-20
9.2,-4.4,2.4,-5.8,0.0868,0.0082,0.072,-0.045,-0.1314,0.0508,0.8,-2,20700154,2007-11-20
17.2,8.2,2.8,1,0.0344,0.009,0.0474,-0.0116,-0.053,-0.0164,4.6,2.4,20700155,2007-11-20
5.2,-5.8,-3.8,-4,0.0226,-0.0706,-0.0068,-0.031,0.119,0.0054,-0.8,-6,20700156,2007-11-20
-3.2,-8.2,0.4,-5.6,0.1172,-0.0406,0.003,-0.0434,-0.085,0.0662,3.6,-4.6,20700157,2007-11-21
-9.8,-15,-1.8,-6.2,-0.0016,-0.0486,0.0058,-0.034,0.1096,-0.042,-8.2,-2.2,20700158,2007-11-21
-16.2,-18,-3.2,-1.8,0.0506,-0.0006,-0.047,-0.036,0.043,-0.07,-2,-1.4,20700159,2007-11-21
-7.2,2.8,-2.2,0.4,-0.0212,-0.039,-0.0614,0.0814,0.0244,-0.1048,-3,0,20700160,2007-11-21
0,1.2,0,5.8,0.0248,0.0956,-0.0076,0.0506,0.0312,-0.017,-3,-3.6,20700161,2007-11-21
2.2,-1.2,0.2,0.6,0.0356,-0.0694,0.0814,-0.005,0.0078,-0.0568,-0.8,-5.6,20700162,2007-11-21
16.8,6.4,4,-3,0.0858,-0.024,0.0778,0.0044,-0.069,-0.005,-0.4,-1.6,20700163,2007-11-21
-13,-9.6,-4.8,-1.8,0.0418,0.0764,-0.0092,-0.0058,-0.0646,0.0526,-1,-0.2,20700164,2007-11-21
-10.6,-6.2,-3,-1,0.0244,0.029,-0.0196,0.0106,-0.0524,0.1538,-2.6,-6,20700165,2007-11-21
3.4,-6.8,0.6,-2.8,0.0694,-0.0096,0.0528,0.005,0.0298,0.0228,-4.2,-4.4,20700166,2007-11-21
