home_w,home_l,away_w,away_l,top_players,eff,HG_7days,AG_7days,G_7days,back2back,missing_players,home_elo,month,Home_Last_10_Avg_PTS_home,Home_Last_10_Avg_FG_PCT_home,Home_Last_10_Avg_FT_PCT_home,Home_Last_10_Avg_FG3_PCT_home,Home_Last_10_Avg_AST_home,Home_Last_10_Avg_REB_home,Home_Last_10_Avg_PTS_away,Home_Last_10_Avg_FG_PCT_away,Home_Last_10_Avg_FT_PCT_away,Home_Last_10_Avg_REB_away,Home_Last_10_Avg_FG3_PCT_away,Home_Last_10_Avg_AST_away,home_team_wins
14,15,8,24,1,619,0,4,4,0,1,1491.807322,3,119.7,0.4845,0.7618,0.3719,24.2,45.5,117.4,0.4824,0.7489,42,0.4091,23.6,1
16,14,11,20,0,679.8181818,1,3,4,0,0,1547.573929,3,108.3,0.4324,0.7461,0.316,24.5,45.7,111.5,0.4306,0.7673,49.9,0.3438,23.4,1
10,21,9,22,1,767.4166667,3,0,3,0,0,1434.561884,3,112.5,0.4773,0.7364,0.3668,24.5,44.6,111.9,0.4639,0.7234,43.2,0.3504,24.6,0
23,7,19,12,1,806.625,2,1,3,0,0,1731.428669,3,114.4,0.4327,0.7719,0.3473,20.6,45.7,117.3,0.4553,0.7994,51.2,0.3665,19.8,0
13,19,8,22,0,850.8571429,1,2,3,0,1,1440.919535,3,115.7,0.5,0.6903,0.3786,25.3,41.5,113.6,0.4921,0.7445,41,0.3831,25.9,0
8,22,11,20,0,766,2,2,4,0,1,1477.109964,3,123.1,0.4902,0.7055,0.3723,28.3,46.5,121.9,0.4773,0.7263,43.2,0.3724,24.7,0
12,19,14,17,0,845.5714286,3,1,4,0,1,1621.733755,3,119.8,0.4833,0.7288,0.3546,29.8,47.2,120.4,0.4858,0.7157,44,0.3855,28.6,1
17,14,21,11,0,743.6,1,3,4,0,0,1675.647238,3,116.1,0.4611,0.7084,0.341,25.9,47.1,115.4,0.4685,0.7222,45.5,0.3536,25,1
11,22,13,16,0,736.375,3,0,3,0,2,1530.546931,3,109.4,0.4705,0.8444,0.3623,25,41.7,112,0.4759,0.8265,39.9,0.3698,26,1
22,7,25,6,2,914.3636364,1,2,3,0,0,1762.502444,3,113.5,0.4738,0.7514,0.337,26.6,46.3,110.4,0.47,0.701,43.1,0.3567,25.4,1
9,20,12,20,0,638.2,2,1,3,0,1,1459.467236,3,97.3,0.4171,0.7489,0.3005,23.3,45.3,101.3,0.4456,0.7531,47.4,0.3369,23,0
21,8,18,13,2,915.3636364,0,2,2,0,0,1724.797116,3,118,0.484,0.787,0.3361,23.3,45.7,114.4,0.4459,0.8014,43,0.3689,22.6,0
14,15,13,19,0,1009.777778,2,2,4,0,0,1612.542306,3,115.3,0.4762,0.7895,0.3678,23.6,43.1,111.1,0.4612,0.769,43.4,0.3628,25.2,0
7,24,7,24,1,703.8,2,2,4,0,2,1455.641496,3,102.8,0.4496,0.7965,0.2943,25.2,41.7,117.7,0.503,0.7216,42,0.4289,29.1,0
9,24,8,20,0,754.8333333,3,1,4,0,1,1402.874732,3,112.6,0.4763,0.7678,0.3502,26.9,43.8,111.5,0.4893,0.7081,42.1,0.3792,27.3,0
11,20,9,22,0,258.8888889,0,2,2,0,0,1459.142387,3,105.3,0.4858,0.786,0.3533,25.5,42.7,104.4,0.4473,0.7966,40.4,0.3583,23.5,0
27,3,25,6,1,953,1,2,3,0,0,1848.975082,3,111.5,0.4474,0.786,0.3661,27.4,49.1,107,0.4257,0.7822,48.2,0.3102,21,1
26,4,13,18,0,783.75,4,0,4,0,0,1668.431383,3,118.3,0.4764,0.7922,0.4238,26.2,43.3,112,0.4535,0.7581,43.1,0.3504,27.8,1
16,13,11,20,0,679.8181818,0,4,4,1,0,1577.948601,3,112.3,0.4465,0.7469,0.3393,25.2,46.3,111.5,0.4322,0.7649,48.6,0.3347,24,0
10,20,9,22,1,764.6666667,2,2,4,0,0,1440.120767,3,112.6,0.4758,0.7215,0.3618,24.9,44.3,111,0.4586,0.7301,43.4,0.3516,24.2,0
7,22,11,20,0,766,1,3,4,1,1,1472.128934,3,125.8,0.4955,0.7082,0.3872,29.5,46.8,122.6,0.4771,0.7455,43.5,0.3703,24.7,1
