home_w_visitor,home_l_visitor,away_w_visitor,away_l_visitor,top_players_visitor,eff_visitor,HG_7days_VISITOR,AG_7days_VISITOR,G_7days_VISITOR,back2back_visitor,missing_players_visitor,visitor_elo,month,Away_Last_10_Avg_PTS_home,Away_Last_10_Avg_FG_PCT_home,Away_Last_10_Avg_FT_PCT_home,Away_Last_10_Avg_FG3_PCT_home,Away_Last_10_Avg_AST_home,Away_Last_10_Avg_REB_home,Away_Last_10_Avg_PTS_away,Away_Last_10_Avg_FG_PCT_away,Away_Last_10_Avg_FT_PCT_away,Away_Last_10_Avg_REB_away,Away_Last_10_Avg_FG3_PCT_away,Away_Last_10_Avg_AST_away,home_team_wins
7,10,5,13,0,620.5714286,1,3,4,0,2,1403.371475,1,97.5,0.4719,0.7459,0.299,23.2,38.5,101.5,0.4966,0.7046,40.4,0.3283,24.2,1
10,6,6,13,1,780.1,2,2,4,0,0,1500.106133,1,104.6,0.4512,0.7933,0.3725,24.2,44.1,102.4,0.446,0.7813,42.7,0.3564,22,1
13,7,11,5,2,734.7,3,0,3,0,0,1573.622596,1,95.6,0.4529,0.7849,0.4104,21.1,36.4,96.6,0.4567,0.7662,40.3,0.3387,22.1,1
12,3,7,14,1,722.3333333,1,2,3,0,0,1553.896777,1,98.8,0.4651,0.8098,0.4086,23.9,39.8,91,0.4361,0.7692,41.7,0.3096,18.6,0
15,4,13,5,3,1039.444444,2,1,3,0,0,1710.229459,1,96.6,0.4247,0.7291,0.3237,21.2,43,101.2,0.4671,0.8199,41.3,0.3775,17.5,0
10,7,10,7,1,781.75,2,0,2,0,0,1513.365413,1,110.4,0.4811,0.7531,0.382,23.5,43.6,105.9,0.461,0.7573,43.6,0.3401,18.8,0
5,12,3,15,0,729.5,2,1,3,0,2,1363.526742,1,99.8,0.462,0.6967,0.3861,24.4,40.9,100.1,0.4473,0.7957,40.1,0.3857,23.2,1
14,5,7,10,1,856,2,2,4,0,0,1496.761896,1,95.3,0.4757,0.7316,0.3371,22,40.1,94.1,0.4428,0.7784,41,0.3223,20,1
13,6,10,7,1,1033.777778,1,2,3,0,0,1561.778348,1,104,0.4721,0.7631,0.3442,23,39.5,97.2,0.4621,0.802,40.6,0.317,17.5,0
15,3,5,11,2,947.9,2,1,3,1,0,1570.823526,1,107,0.4652,0.7901,0.398,22.1,44.7,101.1,0.4441,0.7398,41,0.3571,21.3,1
7,10,4,13,0,620.5714286,1,2,3,1,1,1384.784898,1,96.7,0.4732,0.7262,0.2631,22.8,39.8,98.6,0.4802,0.6882,40.8,0.3091,22.8,0
15,3,8,7,1,939.5555556,3,0,3,1,0,1586.286747,1,97.9,0.4739,0.7613,0.3532,21.8,40.4,90.3,0.4211,0.7298,43.6,0.288,18,1
8,7,5,12,0,805.4444444,1,1,2,1,2,1512.703204,1,91.1,0.4567,0.7376,0.3115,21.3,41.9,89.8,0.426,0.7503,40,0.4267,17.4,1
8,8,0,16,0,725.1428571,2,1,3,0,0,1344.126253,1,94.2,0.436,0.789,0.3026,20.6,43,89,0.4195,0.7541,42.3,0.3009,17.8,1
19,2,10,3,1,1010,1,2,3,1,0,1686.330565,1,108.7,0.4916,0.7508,0.3973,25.5,41.8,98.3,0.4422,0.7448,45.3,0.3369,18.7,1
8,9,3,12,0,350,3,0,3,0,1,1411.610273,1,93.4,0.454,0.7424,0.3164,21.7,39.7,90.7,0.4344,0.76,40.7,0.3503,18,0
8,6,5,15,2,827.2222222,0,4,4,0,0,1411.461896,1,106.6,0.4768,0.7327,0.4261,25.4,42.9,101.5,0.455,0.7245,45,0.3597,22.6,0
12,3,6,14,1,722.3333333,2,1,3,1,0,1547.020965,1,99.1,0.4721,0.8283,0.3724,23.6,39.1,90.5,0.4373,0.7566,42,0.2942,19.1,0
12,5,11,9,3,834.2,1,3,4,1,0,1577.983277,1,94.7,0.4563,0.7102,0.3186,22,42.6,91.5,0.4315,0.7969,40.4,0.3202,19.8,0
12,5,12,6,2,995.7,3,1,4,1,0,1582.309918,1,92.4,0.4467,0.7414,0.272,21,38.7,98.6,0.4709,0.7781,43.8,0.3793,22.9,0
15,3,5,10,2,1014.6,2,1,3,0,0,1589.338267,1,107.5,0.4761,0.7971,0.4033,22.2,43,101.2,0.4502,0.7392,40.1,0.352,21.7,1
8,7,5,11,0,805.4444444,1,1,2,0,1,1515.671354,1,90.7,0.4602,0.7218,0.3282,21.6,42,90,0.427,0.7602,40.3,0.4183,17.7,1
