diff_home_wins,diff_home_losses,diff_away_wins,diff_away_losses,diff_avg_pts_home,diff_avg_pts_away,diff_avg_ast_home,diff_avg_ast_away,diff_avg_fg3_pct_home,diff_avg_fg3_pct_away,diff_avg_fg_pct_home,diff_avg_fg_pct_away,diff_avg_ft_pct_home,diff_avg_ft_pct_away,diff_avg_reb_home,diff_avg_reb_away
3,-5,5,-2,8.5,8.3,1.4,0.9,0.022,-0.0721,0.0382,0.0088,0.0127,0.1186,-1.9,-0.7
-13,12,0,1,-14.3,-13.9,-2.9,-3,-0.0461,-0.05,-0.057,-0.0189,-0.0277,-0.0352,0.5,-1.2
-4,2,-6,8,-8.2,-7.8,0.1,-4.8,0.0003,-0.0734,-0.0503,-0.0173,-0.0334,-0.0437,0.4,1
-2,-5,0,5,-5.1,-8.7,-0.5,-0.1,0.0165,-0.0774,-0.0268,-0.0477,-0.0094,-0.026,3.4,4.1
3,-3,-7,5,15.3,11.7,4.3,2.6,0.0808,-0.0339,0.0144,0.0062,-0.0254,0.0718,4.1,-0.1
-2,2,3,-5,-6.1,-1.6,1.9,3.5,0.0177,-0.0171,-0.0173,0.0126,-0.0357,-0.0095,0.4,-0.4
-3,2,-1,2,5.8,5.8,-1.4,2.8,0.0736,-0.0313,0.0203,0.0156,-0.0268,0.0196,0.7,0.1
0,0,2,-5,-11.2,-9.4,-2.3,-1.3,-0.072,0.0628,-0.0091,-0.0018,-0.0678,-0.0154,0.8,-1.5
-2,0,2,-2,5.8,4.3,-2.5,-4.2,-0.037,-0.0327,-0.0033,-0.013,0.0081,-0.0205,2.5,3.4
-3,1,-4,6,18,18,7.6,9.3,-0.0814,0.071,0.0446,0.0325,0.0061,0.0141,3.2,0.1
-5,5,-7,5,-14.1,-15.5,-3.6,-7,0.0064,0.0441,-0.0411,-0.053,0.0121,0.0055,2.7,2.7
9,-4,-3,-1,-9.5,-14.8,-3.8,-2.8,0.021,-0.0788,-0.0651,-0.0712,0.0667,-0.0315,7,0.9
7,-8,11,-7,4.2,3.9,-3.3,-2.5,0.0807,-0.0152,0.0176,0.0002,0.0881,0.0727,-1.7,-0.2
-1,0,3,-5,3.2,7.6,0.3,-0.4,-0.0339,-0.0057,0.0007,-0.0009,-0.0153,0.0266,1.9,3.5
4,-1,-3,0,0.1,-3.5,2.8,-3.4,-0.0514,-0.1131,-0.0139,-0.0273,0.0187,-0.0272,0.1,2.6
8,-6,-3,2,15.3,9.6,7.2,4.1,-0.0269,-0.05,0.0071,-0.0141,-0.0836,-0.0224,5.6,8.4
9,-9,0,2,2.4,-0.7,2,2.1,0.0562,0.0176,0.0345,0.0074,-0.0124,0.0191,-1.6,-1.1
-8,5,-3,7,0,1.3,-0.5,2.8,-0.0055,0.0055,0.0199,0.0158,0.0282,0.0788,-3.6,-1.5
7,-3,2,-3,4.7,5.3,-0.7,-0.1,0.0724,0.0062,-0.0012,-0.0123,-0.0235,-0.0221,1,1
-6,4,6,-5,-12.7,-12.5,0.2,-1,0.005,-0.0447,-0.0383,-0.008,-0.0603,-0.0739,2.6,-2.1
0,3,-1,0,-1,0.7,-1.9,-0.6,-0.0244,0.0106,-0.0092,0.0158,0.0425,-0.0383,0.6,-3.2
-2,-1,1,3,-7.6,-2.9,-4.3,-3.2,-0.0268,0.0632,-0.0389,-0.0038,0.0526,0.0473,-0.8,3
7,-5,12,-13,-23.8,-17.7,-11.9,-6.4,-0.0647,-0.0619,-0.066,-0.0368,0.0065,-0.0469,-1.1,3.5
-10,4,-7,13,-13.4,-13.6,-3.2,-1,-0.0186,-0.1159,-0.0539,-0.0391,-0.0499,-0.0334,3.2,-0.2
2,-7,6,-2,-0.3,3.1,-0.4,4.8,-0.0969,0.035,-0.048,-0.0122,0.0316,-0.0229,6.2,4.3
3,-5,3,3,2.6,5,-1.4,1,0.0024,-0.0363,0.025,0.032,0.0271,0.0894,-6.1,-4.9
11,-10,2,-2,16.5,7.7,5,1.3,-0.0063,-0.0843,0.0201,-0.0164,-0.0008,0.0737,6.7,1.9
0,2,-4,3,3.9,0.8,-0.6,-0.4,0.0148,-0.1265,0.001,-0.0112,-0.0052,-0.0048,2.4,-0.1
-1,3,-10,8,-5.4,-9.7,1.1,2.7,-0.0787,-0.0204,-0.0577,-0.0519,-0.033,-0.0856,7.4,4.7
2,-3,-2,2,4.2,3.5,4.6,-1.8,-0.0917,-0.0016,0.0182,0.0073,0.0249,0.0709,-2,2.2
2,-3,2,1,4.8,0.1,3.7,4.5,0.0198,-0.0295,0.04,0.0151,-0.0465,0.0611,-2.7,-5.4
