20400237,12/4/2004,2004,1,East,WAS,14,9,5,4,2,5,3,East,CHI,13,2,11,1,4,1,7,0,0,728.2,625.5,1,2,3,1,2,1,3,1,2,0,1561.519045,1330.622699,230.8963458,0,2,102.7,12
20400236,12/4/2004,2004,1,East,CLE,16,10,6,6,1,4,5,East,TOR,18,7,11,5,2,2,9,2,1,902.875,670.3333333,1,3,4,0,1,4,5,1,0,0,1628.527438,1425.823518,202.7039202,1,0,232.5416667,12
20400240,12/4/2004,2004,1,West,HOU,17,6,11,2,5,4,6,East,PHI,15,6,9,5,3,1,6,2,0,822.3333333,535.8888889,2,1,3,0,0,3,3,1,1,1,1587.824204,1413.886031,173.9381722,2,0,286.4444444,12
20400244,12/4/2004,2004,1,West,GSW,15,3,12,2,6,1,6,East,IND,16,10,6,6,2,4,4,0,0,625.8,328,1,2,3,1,0,3,3,1,0,0,1517.156444,1567.260808,-50.10436316,0,0,297.8,12
20400241,12/4/2004,2004,1,West,DAL,17,11,6,6,3,5,3,West,UTA,16,8,8,4,4,4,4,2,1,807.4,804.5,2,1,3,0,1,2,3,0,0,1,1694.663626,1512.037931,182.6256953,1,-1,2.9,12
20400242,12/4/2004,2004,1,West,DEN,15,8,7,7,4,1,3,East,MIA,17,11,6,6,3,5,3,1,1,920.3333333,707.0909091,2,1,3,0,2,1,3,1,0,0,1600.284022,1559.329111,40.95491051,0,0,213.2424242,12
20400239,12/4/2004,2004,0,East,MIL,13,4,9,4,2,0,7,West,SAS,17,14,3,8,0,6,3,1,1,656.4,759.9090909,2,1,3,0,3,1,4,1,2,0,1573.062146,1711.492888,-138.4307422,0,2,-103.5090909,12
20400238,12/4/2004,2004,0,West,NOP,14,1,13,0,7,1,6,East,DET,15,7,8,5,1,2,7,0,1,487.75,857.125,1,2,3,0,0,3,3,1,0,1,1505.229558,1573.766999,-68.53744085,-1,-1,-369.375,12
20400245,12/4/2004,2004,1,West,OKC,17,14,3,8,0,6,3,West,POR,14,8,6,5,2,3,4,0,2,666.1111111,843.3,2,1,3,0,2,0,2,0,0,0,1703.356282,1524.357372,178.9989102,-2,0,-177.1888889,12
20400235,12/4/2004,2004,1,East,BKN,15,3,12,2,6,1,6,East,ATL,15,2,13,1,7,1,6,1,0,513.7777778,542,1,2,3,0,2,1,3,1,0,0,1492.25738,1323.411391,168.8459893,1,0,-28.22222222,12
20400233,12/4/2004,2004,1,East,CHA,13,3,10,3,4,0,6,East,NYK,15,8,7,6,2,2,5,0,1,242,849.375,1,1,2,0,3,1,4,1,3,1,1523.165731,1458.640959,64.52477218,-1,2,-607.375,12
20400234,12/4/2004,2004,1,East,ORL,15,10,5,6,2,4,3,West,MEM,17,6,11,4,5,2,6,0,1,847.4285714,816.8888889,3,1,4,1,3,1,4,1,0,1,1529.558803,1515.215417,14.34338553,-1,-1,30.53968254,12
20400246,12/5/2004,2004,1,West,SAC,16,11,5,7,1,4,4,East,BOS,15,7,8,5,4,2,4,3,1,988.5555556,779.7777778,2,2,4,0,2,2,4,0,0,0,1695.580916,1490.514696,205.0662192,2,0,208.7777778,12
20400247,12/5/2004,2004,0,West,POR,15,8,7,5,2,3,5,West,PHX,16,13,3,6,2,7,1,2,1,843.3,857.9,2,1,3,1,2,1,3,0,0,0,1619.582432,1578.394384,41.18804761,1,0,-14.6,12
20400254,12/6/2004,2004,1,West,LAC,17,10,7,6,4,4,3,East,CHA,14,4,10,4,4,0,6,1,0,744,242,3,0,3,0,1,1,2,0,2,2,1585.028889,1429.168769,155.8601207,1,0,502,12
20400251,12/6/2004,2004,0,West,DAL,18,12,6,7,3,5,3,East,DET,16,8,8,5,1,3,7,2,1,807.4,862.125,3,0,3,0,0,3,3,0,0,0,1702.829271,1587.560271,115.2690004,1,0,-54.725,12
20400249,12/6/2004,2004,1,East,ATL,16,2,14,1,7,1,7,East,PHI,16,6,10,5,3,1,7,0,0,575.125,607.6666667,2,1,3,0,0,3,3,0,0,0,1415.214665,1411.979296,3.2353693,0,0,-32.54166667,12
20400255,12/6/2004,2004,1,West,GSW,16,4,12,3,6,1,6,East,BOS,16,7,9,5,4,2,5,0,1,626,959.5714286,2,1,3,0,2,2,4,1,0,0,1527.969524,1485.322299,42.64722552,-1,0,-333.5714286,12
20400252,12/6/2004,2004,1,West,DEN,16,9,7,8,4,1,3,East,ORL,16,11,5,7,2,4,3,1,0,874.4,844,3,0,3,0,3,1,4,0,0,1,1608.603167,1436.229273,172.3738936,1,-1,30.4,12
20400253,12/6/2004,2004,0,West,UTA,17,8,9,4,4,4,5,East,MIA,18,11,7,6,3,5,4,1,1,804.5,682,1,2,3,0,1,2,3,0,1,0,1603.872285,1551.009966,52.86231921,0,1,122.5,12
20400248,12/6/2004,2004,1,East,BKN,16,4,12,3,6,1,6,East,TOR,19,7,12,5,2,2,10,1,1,513.7777778,800.7777778,2,1,3,0,0,4,4,0,0,0,1500.454105,1422.113812,78.34029316,0,0,-287,12
20400250,12/6/2004,2004,0,East,CHI,14,2,12,1,4,1,8,West,SAS,18,15,3,8,0,7,3,0,1,528.375,759.9090909,2,1,3,0,2,2,4,0,0,0,1427.65018,1720.973972,-293.3237918,-1,0,-231.5340909,12
20400258,12/7/2004,2004,1,West,MEM,18,6,12,4,5,2,7,East,NYK,16,8,8,6,2,2,6,1,1,839.8888889,877,2,2,4,0,2,2,4,0,0,1,1608.544946,1452.637921,155.9070254,0,-1,-37.11111111,12
20400262,12/7/2004,2004,1,West,SAC,17,12,5,8,1,4,4,East,CHA,15,4,11,4,4,0,7,3,0,1056.375,283.375,2,2,4,0,1,2,3,1,1,3,1700.773313,1425.18616,275.5871528,3,-2,773,12
